All Metabolites,Traduccion,Primary Metabolites,Description Primary Metabolites,Secondary Metabolites,Description Secondary Metabolites,Saturados,Insaturados,Ácidos,Bases,Alcoholes,Aminoderivados,Amidas,Aldehídos,Glúcidos,Aminoácidos,Alcaloides
Methyl Stearate,Estearato De Metilo,D-(+)-melezitose,"La D-(+)-Melecitosa es un trisacárido, lo que significa que está compuesta por tres unidades de azúcares simples. A diferencia de otros azúcares, es no reductor, lo que significa que no participa en las reacciones de reducción típicas de azúcares como la glucosa; esta característica le proporciona una mayor estabilidad química y afecta sus interacciones en los procesos biológicos.

Este azúcar se obtiene naturalmente de la exudación de ciertos árboles, un mecanismo que los árboles utilizan para protegerse de daños o infecciones, secrección que puede actuar como una barrera física o antimicrobiana. En el ecosistema, la D-(+)-Melecitosa sirve como fuente de carbono para diversos organismos que viven en simbiosis con los árboles, incluyendo algunos insectos y microbios, facilitando así interacciones ecológicas complejas.

Aunque su uso industrial no es tan extendido como el de otros azúcares debido a su escasez y complejidad en la extracción, la D-(+)-Melecitosa es de gran interés para estudios botánicos y ecológicos que exploran las defensas de las plantas y las interacciones planta-insecto. Su estructura única también ofrece posibilidades para la investigación en química de carbohidratos y aplicaciones biotecnológicas, haciéndola un tema relevante en la ciencia de los carbohidratos y la biotecnología.",trans-Cinnamoylcocaine,"Es un alcaloide tipo tropano, presenta estrecha similitud estructural con la cocaína. Se dice que es farmacológicamente inactivo. El cinamato de metilecgonina puede dimerizarse a la truxillina, un derivado del ácido truxílico. ",,,"Oleic Acid, (Z)-",,,,,,,,
Methyl Palmitate,Metil Palmitato,D-Allose,"En humanos y otros mamíferos, la glucosamina es esencial para la formación y mantenimiento del cartílago, el tejido que protege las articulaciones. Por su capacidad para apoyar la salud articular, es ampliamente usada como suplemento dietético en el tratamiento de la osteoartritis. Se cree que puede ayudar a regenerar el cartílago y reducir la inflamación articular. Los suplementos de glucosamina suelen derivarse de fuentes marinas y son valorados por quienes buscan alivio del dolor articular y mejorar la movilidad. Su uso refleja su importancia en la salud articular y en la biotecnología, donde se explora su potencial en diversas aplicaciones médicas y nutricionales.",,,,,Citric acid,,,,,,,,
Docosane,Docosano,delta. Amino levulinic acid tri-,"El ácido (D)-amino levulínico es un compuesto orgánico crucial en la biosíntesis de las porfirinas, componentes fundamentales para la vida debido a su papel en la formación de clorofila en las plantas. Este pigmento verde permite a las plantas realizar la fotosíntesis, convirtiendo la energía solar en energía química, esencial para su crecimiento y supervivencia. Por lo tanto, el ácido (D)-amino levulínico es vital para la salud vegetal y la productividad agrícola.

Además de su papel en la naturaleza, este compuesto tiene aplicaciones médicas significativas, especialmente en la terapia fotodinámica. Utilizado como agente fotosensibilizador, el ácido (D)-amino levulínico es activado por la luz para tratar ciertas formas de cáncer y trastornos cutáneos. Esta terapia aprovecha su propiedad para convertirse en un compuesto activo bajo exposición a la luz, destruyendo células dañinas y tratando efectivamente las áreas afectadas sin invasividad significativa. Estas aplicaciones hacen del ácido (D)-amino levulínico un compuesto de gran interés tanto en el ámbito de la botánica como en el campo médico, subrayando su versatilidad y valor en diversas áreas de investigación y tratamiento.",,,,,D-Gluconic acid,,,,,,,,
"9,12-Octadecadienoic acid (Z,Z)-","Ácido 9,12-Octadecadienoico",D-Gluconic acid,"El ácido 2-ceto-L-gluconico es un compuesto orgánico derivado de la oxidación de la glucosa, desempeñando un papel crucial como intermediario en la transformación de glucosa en vitamina C tanto en plantas como en algunos microorganismos. Este ácido se caracteriza por la presencia de un grupo cetona en el segundo carbono de su estructura molecular, resultado de la oxidación de un grupo hidroxilo, lo que modifica sus propiedades químicas y lo convierte en soluble en agua.

En la industria, el ácido 2-ceto-L-gluconico es valorado por sus propiedades quelantes, capaces de formar complejos con metales, facilitando así su tratamiento en soluciones. Además, es comúnmente usado en alimentos y bebidas para estabilizar colores y sabores, manteniendo la calidad deseada de estos productos. Desde un enfoque biotecnológico y farmacéutico, este ácido es investigado por su potencial para mejorar la producción de vitamina C en organismos genéticamente modificados, lo que es fundamental para la nutrición y la creación de suplementos dietéticos.",,,,,DocosanoicAcid,,,,,,,,
"Oleic Acid, (Z)-",Ácido Oleico,d-Glucose,"La D-glucosa, comúnmente conocida como glucosa, es un monosacárido esencial y uno de los azúcares más abundantes en la Tierra. Es vital tanto en el reino vegetal como en el animal debido a su papel central como fuente de energía. En las plantas, la glucosa es producida mediante la fotosíntesis, un proceso en el cual la luz solar es utilizada para convertir el agua y el dióxido de carbono en glucosa y oxígeno. Este azúcar no solo energiza las actividades celulares de las plantas, sino que también es crucial para la síntesis de biomoléculas como el almidón y la celulosa, importantes para el almacenamiento de energía y la estructura celular.

En los seres humanos y otros animales, la glucosa es indispensable para la producción de energía a través de la glucólisis, donde se descompone para liberar energía utilizada en funciones vitales como el movimiento y la función cerebral. Los niveles de glucosa son meticulosamente regulados por hormonas como la insulina para mantener un equilibrio energético óptimo, esencial en el tratamiento y manejo de la diabetes. Además de su importancia biológica, la glucosa tiene aplicaciones prácticas; se utiliza como edulcorante en la industria alimentaria y en soluciones nutritivas en el ámbito médico, demostrando su versatilidad y esencialidad en diversas aplicaciones.",,,,,Ethylphosphonic acid,,,,,,,,
Stearic acid,Ácido Estearico,DL-Ornithine,"La ornitina es un aminoácido no proteico, lo que significa que no se utiliza para construir proteínas, pero juega un papel crucial en el metabolismo celular. Se produce en las células a partir del aminoácido glutamato y es fundamental para la creación de arginina, otro aminoácido importante para muchos procesos corporales, incluyendo la eliminación de desechos y la mejora de la circulación sanguínea. Además, la ornitina es esencial en el ciclo de la urea, un proceso vital que ayuda a detoxificar el amoníaco, un compuesto tóxico producido por la descomposición de las proteínas en el cuerpo.",,,,,Ferulic acid,,,,,,,,
Cocaine,Cocaina ,D-Mannitol,"El D-manitol es un tipo de azúcar conocido como alcohol de azúcar, que se encuentra naturalmente en frutas y vegetales como la remolacha y el apio. A diferencia de los azúcares comunes como la sacarosa, el manitol tiene la particularidad de ser bajo en calorías y no provoca un aumento rápido en los niveles de azúcar en sangre, lo que lo hace ideal como edulcorante para personas con diabetes o para aquellos que buscan reducir su consumo calórico.

Además de ser utilizado como edulcorante en alimentos y bebidas, el manitol también tiene aplicaciones médicas debido a sus propiedades osmóticas, que ayudan a reducir la presión en el cerebro y los ojos cuando se administra por vía intravenosa. Esto lo convierte en un tratamiento útil en situaciones médicas como el edema cerebral y el glaucoma. Su capacidad para retener agua también lo hace valioso en productos cosméticos como cremas y lociones hidratantes.",,,,,Galactaric Acid,,,,,,,,
Oleamide,Oleamida,Docosane,"El docosano es un tipo de hidrocarburo saturado compuesto por una cadena lineal de 22 átomos de carbono. Es conocido por sus propiedades hidrófobas, es decir, su capacidad para repeler el agua, lo que lo hace útil en diversas aplicaciones industriales y científicas.

Debido a su resistencia al agua, el docosano se utiliza frecuentemente en la fabricación de lubricantes, revestimientos protectores, y en la industria cosmética para crear productos que forman una barrera protectora sobre la piel o el cabello. También se explora en el campo de la nanotecnología para desarrollar superficies que resisten la acumulación de humedad y suciedad.",,,,,Gallic acid,,,,,,,,
abietic acid,Ácido Abietico,Dotriacontane,"El dotriacontano es un tipo de hidrocarburo que forma parte de los alcanos, una categoría de moléculas que solo contienen carbono e hidrógeno con enlaces simples, lo que los hace bastante estables y no reactivos. Este compuesto específico tiene una larga cadena de 32 átomos de carbono, y es sólido a temperatura ambiente debido a su gran tamaño y estructura lineal.

Debido a su insolubilidad en agua y su naturaleza hidrofóbica, el dotriacontano se encuentra comúnmente en la cera que recubre las hojas de muchas plantas, contribuyendo a su capacidad para repeler agua. Esta propiedad es crucial para las plantas, ya que previene la pérdida excesiva de agua y protege a las hojas de infecciones microbianas y de la acumulación de partículas de polvo y suciedad. Además, por sus características, el dotriacontano también se explora para su uso en revestimientos y emulsiones en diversas aplicaciones industriales, donde se busca aprovechar su capacidad para formar barreras protectoras contra la humedad y otros elementos externos.",,,,,gluconic acid lactonel,,,,,,,,
1-Monopalmitin,Ácido 1-Monopalmitino,Eicosane,"El eicosano es un tipo de hidrocarburo saturado que consiste en una cadena lineal de 20 átomos de carbono y 42 átomos de hidrógeno. A temperatura ambiente, se presenta como una sustancia sólida e incolora. Este compuesto es conocido por ser el hidrocarburo de cadena lineal más pequeño que se encuentra en las ceras naturales.

Debido a su estructura y composición, el eicosano tiene propiedades hidrofóbicas, lo que significa que repele el agua. Esta característica lo hace valioso en diversas aplicaciones, especialmente en la fabricación de ceras utilizadas en revestimientos protectores como tambien en productos de impermeabilización. Las ceras que contienen eicosano son empleadas para proteger superficies contra la humedad y la corrosión, las cuales se encuentran en productos como cosméticos y cremas hasta revestimientos para madera y textiles. La capacidad del eicosano para formar una barrera sólida también lo hace útil en la industria del embalaje, proporcionando una capa protectora que ayuda a preservar la calidad y la integridad de los alimentos y otros productos sensibles al ambiente.",,,,,Glyceric acid,,,,,,,,
1-Octacosanol,Ácido 1-Ol-Octacosanoico,Ethanolamine,"La etanolamina es un compuesto orgánico multifuncional que actúa tanto como alcohol primario como amina primaria, lo que le permite comportarse como una base débil. Este compuesto químico es líquido a temperatura ambiente y se mezcla fácilmente con agua, facilitando su uso en numerosas aplicaciones industriales y químicas.

En el contexto de la industria, la etanolamina es esencial para la alcalinización del agua en tratamientos de agua, ayudando a ajustar y mantener el pH en sistemas de calderas y torres de refrigeración para prevenir la corrosión. Además, este compuesto juega un papel vital en la fabricación de detergentes y cosméticos, donde actúa como emulsificante y agente espesante, mejorando la textura y la eficacia de estos productos. La versatilidad de la etanolamina en reaccionar tanto con ácidos como con bases la convierte en un componente indispensable en la industria química.",,,,,Gulonic acid,,,,,,,,
Tris(trimethylsilyl)carbamate,Carbamato,Ethyl .alpha.-D-glucopyranoside,"La glucopiranosa es una forma cíclica de la glucosa, que es un tipo de azúcar simple y fundamental para la energía en muchos organismos vivos. En esta estructura, los átomos de carbono de la glucosa se unen para formar un anillo, específicamente un anillo de seis miembros que incluye un átomo de oxígeno, lo que la clasifica dentro del grupo de los azúcares conocidos como piranosas. Este tipo de estructura es común en los carbohidratos y es crucial para su función biológica.

En las plantas, la glucopiranosa no solo sirve como una fuente de energía vital sino que también es un componente estructural en la formación de celulosa y almidón, que son esenciales para la construcción de la pared celular y el almacenamiento de energía, respectivamente. Además, debido a su solubilidad y estabilidad, la glucopiranosa tiene numerosas aplicaciones en la industria alimentaria, donde se utiliza como edulcorante y estabilizador en productos como bebidas, dulces y conservas. Su presencia es vital en el metabolismo de todos los seres vivos, facilitando procesos energéticos y estructurales fundamentales.",,,,,HeptadecanoicAcid,,,,,,,,
Pyruvic Acid,Ácido Piruvico,Ethylphosphonic acid,"El ácido etilfosfónico es un tipo de compuesto organofosforado caracterizado por tener un átomo de fósforo en el centro de su estructura, rodeado de un grupo etilo (una cadena de dos carbonos), dos grupos hidroxilo y un oxígeno unido mediante un enlace doble. Esta estructura le confiere propiedades químicas únicas, especialmente en lo que respecta a su reactividad y solubilidad.

En la práctica, el ácido etilfosfónico se utiliza en diversos campos debido a sus propiedades fungicidas y como fuente de fósforo en fertilizantes. En el metabolismo de las plantas, compuestos como el ácido etilfosfónico pueden desempeñar un papel en la regulación y el equilibrio de nutrientes esenciales, contribuyendo a la salud general de las plantas y mejorando su capacidad para resistir enfermedades. También se utiliza en la industria agrícola para combatir diversas enfermedades fúngicas que afectan a los cultivos, proporcionando una herramienta eficaz para mejorar el rendimiento y la calidad de las cosechas.",,,,,Hexanedioic acid,,,,,,,,
L-Alanine,L-Alanina,Galactaric Acid,"El ácido galactárico es un compuesto derivado de la oxidación de la D-galactosa, un tipo de azúcar simple que es fundamental para los seres vivos. Este ácido pertenece a la categoría de los azúcares ácidos debido a la introducción de un grupo carboxílico en la molécula de galactosa, lo que modifica sus propiedades y funciones.

En las plantas, el ácido galactárico juega un papel importante en la modificación de pectinas, que son componentes esenciales de las paredes celulares vegetales. Estas modificaciones ayudan a las plantas a regular su rigidez y permeabilidad, influyendo directamente en procesos como el crecimiento y la defensa contra patógenos. Además de su función biológica, el ácido galactárico también tiene aplicaciones industriales; por ejemplo, se utiliza en la industria alimentaria como un potencial aditivo debido a sus propiedades antioxidantes, lo que puede ayudar a mejorar la estabilidad y la vida útil de los alimentos.",,,,,Hydracrylic acid,,,,,,,,
L-Valine,L-Valina,Galactinol,"Galactinol es un tipo de disacárido, un azúcar formado por la unión de dos moléculas de azúcar más simples, que se encuentra en muchas plantas. Este compuesto juega un rol crucial en el metabolismo vegetal, especialmente en las semillas, donde actúa como un agente protector contra la desecación, ayudando a las semillas a retener su vitalidad durante periodos de sequía o antes de la germinación. Además, el galactinol sirve como una importante reserva de energía que las plantas pueden movilizar en momentos críticos para su crecimiento y desarrollo, como durante la germinación.

La importancia del galactinol en las plantas también se extiende a la biotecnología y la agricultura, donde el entendimiento de su función podría mejorar las técnicas de almacenamiento de semillas y aumentar la eficiencia de los cultivos en condiciones adversas. Su capacidad para proteger y estabilizar tejidos biológicos también abre posibilidades para su uso en la industria alimentaria, potencialmente en el desarrollo de productos más resistentes a la descomposición y el envejecimiento durante el almacenamiento.",,,,,.beta.-Alanine,,,,,,,,
Ethylphosphonic acid,Áicido Etilfosfonico,Gallic acid,"El ácido gálico, formalmente conocido como ácido 3,4,5-trihidroxibenzoico, es un compuesto orgánico natural ampliamente distribuido en el reino vegetal. Se presenta tanto en forma libre como integrado en los taninos, que son polímeros fenólicos encontrados en diversas partes de las plantas como las hojas, frutos y cortezas. Este ácido es especialmente notable por su potente actividad antioxidante, ayudando a las plantas a combatir el estrés oxidativo causado por factores ambientales como la radiación UV y la contaminación.

En las plantas, el ácido gálico y los taninos relacionados desempeñan roles críticos no solo en la defensa contra herbívoros y patógenos, sino también en la protección estructural de los tejidos vegetales. Fuera del ámbito botánico, el ácido gálico tiene numerosas aplicaciones: en la industria alimentaria, se utiliza como conservante natural debido a sus propiedades antimicrobianas y antioxidantes; en la medicina, se estudia por sus potenciales beneficios para la salud, incluyendo la reducción del riesgo de enfermedades crónicas como el cáncer y enfermedades cardiovasculares debido a su capacidad para neutralizar radicales libres. Además, es un ingrediente común en productos farmacéuticos y cosméticos, aprovechando su efecto protector y estabilizador.",,,,,Lactic Acid,,,,,,,,
Octanoic acid,Ácido Octanoico,Glucopyranose,"La glucopiranosa es una forma cíclica de la glucosa, que es un tipo de azúcar simple y fundamental para la energía en muchos organismos vivos. En esta estructura, los átomos de carbono de la glucosa se unen para formar un anillo, específicamente un anillo de seis miembros que incluye un átomo de oxígeno, lo que la clasifica dentro del grupo de los azúcares conocidos como piranosas. Este tipo de estructura es común en los carbohidratos y es crucial para su función biológica.

En las plantas, la glucopiranosa no solo sirve como una fuente de energía vital sino que también es un componente estructural en la formación de celulosa y almidón, que son esenciales para la construcción de la pared celular y el almacenamiento de energía, respectivamente. Además, debido a su solubilidad y estabilidad, la glucopiranosa tiene numerosas aplicaciones en la industria alimentaria, donde se utiliza como edulcorante y estabilizador en productos como bebidas, dulces y conservas. Su presencia es vital en el metabolismo de todos los seres vivos, facilitando procesos energéticos y estructurales fundamentales.",,,,,Caffeic acid,,,,,,,,
L-Isoleucine,L-Leucina,Glyceric acid,"El ácido glicérico es una sustancia química derivada de la glicerina, actuando como un importante intermediario en el proceso de glucólisis, el cual es esencial para la producción de energía en las células a través de la respiración celular. Durante este proceso, el ácido glicérico participa en la transformación de las moléculas de glucosa, ayudando a descomponerlas para liberar energía que las células utilizan para realizar funciones vitales.

Este compuesto es soluble en agua, lo que facilita su movilidad y función dentro de los sistemas biológicos. Además de su rol en la glucólisis, el ácido glicérico se puede sintetizar en el laboratorio a través de la reacción de la glicerina con ácido nitroso. Su solubilidad y reactividad lo hacen útil en diversas aplicaciones bioquímicas y médicas, incluyendo estudios sobre metabolismo celular y como componente en investigaciones farmacéuticas.",,,,,lauric acid,,,,,,,,
L-Proline,L-Prolina,Glycerol,"El glicerol, también conocido como glicerina, es un compuesto orgánico derivado principalmente de los triglicéridos, que son las grasas y aceites comunes en muchos alimentos y en el cuerpo humano. Este líquido viscoso y dulce también se produce como subproducto en la fabricación de jabones y mediante la fermentación de azúcares. Debido a su capacidad para absorber agua del ambiente (propiedad higroscópica), el glicerol es ampliamente valorado en diversas industrias.

En el mundo de las plantas, el glicerol juega un papel en la regulación osmótica, ayudando a las plantas a manejar el estrés por sequía y salinidad al ajustar la cantidad de agua dentro de sus células. En aplicaciones industriales y comerciales, se utiliza como solvente y humectante en productos farmacéuticos y cosméticos, proporcionando suavidad y lubricación, y como endulzante en alimentos y bebidas. Su versatilidad también se extiende al uso en la producción de nitroglicerina, que es un componente clave en la fabricación de explosivos y en medicina como un tratamiento para enfermedades cardíacas.",,,,,L-Glutamic acid,,,,,,,,
Butanedioic acid,Ácido Butanedioico,Glycerol monostearate,"El monoestearato de glicerol es un tipo de cera blanca con un punto de fusión entre 56 y 58 grados Celsius. Este compuesto es un emulsionante natural, obtenido a partir de la combinación de ácidos grasos y glicerol, que son componentes clave de las membranas celulares. La estructura de este compuesto le permite ser soluble en alcohol caliente pero insoluble en agua, lo que le confiere propiedades únicas que son ampliamente aprovechadas en diversas aplicaciones.

En las plantas, el monoestearato de glicerol contribuye a la estabilidad y funcionalidad de las membranas celulares, ayudando a regular el transporte de sustancias y protegiendo las células contra el estrés ambiental. En la industria, este compuesto es valorado por su capacidad para estabilizar emulsiones, haciéndolo un ingrediente común en productos alimenticios, cosméticos y farmacéuticos. Por ejemplo, en la producción de cremas y lociones, mejora la consistencia y aumenta la vida útil del producto al mantener separados los componentes acuosos y oleosos. Su uso en alimentos se centra en mejorar la textura y facilitar la mezcla de ingredientes que normalmente no se combinan fácilmente, como el aceite y el agua.",,,,,Glycolic acid,,,,,,,,
Glyceric acid,Ácido Glicerico,Glyceryl-glycoside ether,"El glucósido de glicerilo, también llamado glucoglicerol, es un ingrediente activo natural que estimula las células. Derivado de recursos sostenibles y libres de palma, se obtuvo mediante química verde utilizando azúcar natural y glicerol. Fácilmente biodegradable y con un excelente perfil de seguridad, es extremadamente bien tolerado por la piel y perfectamente adecuado para pieles sensibles. Originalmente encontrado en plantas del desierto, el glucósido de glicerilo se produce y acumulado por las plantas durante la estación seca en respuesta al estrés externo debido a las condiciones extremas de deshidratación. Actúa como una molécula protectora del estrés, estimula y potencia las funciones celulares de las plantas, inhibe la pérdida de agua y les permite resistir y sobrevivir en ambientes hostiles.

El glucósido de glicerilo se utiliza en cosmética como un potente agente antienvejecimiento y estimulante de las células. Demuestra capacidad de hidratación y retención de agua duradera y puede ofrecer un tratamiento eficaz para la piel deshidratada, estresada y reactiva, reduciendo los síntomas de enrojecimiento, tirantez y quemaduras solares",,,,,Malic acid,,,,,,,,
Serine,L-Serina ,Glycine,"La glicina es un aminoácido no esencial, lo que significa que el cuerpo humano puede producirlo sin necesidad de obtenerlo directamente de la dieta. Es el aminoácido más simple y pequeño, destacándose por no tener un carbono asimétrico en su estructura, a diferencia de la mayoría de los otros aminoácidos. Esta particularidad le confiere una gran flexibilidad en las funciones biológicas que desempeña.

En las plantas y animales, la glicina es un componente fundamental para la síntesis de proteínas, desempeñando un papel crucial en la construcción y reparación de tejidos. Además, está involucrada en la producción de otras sustancias químicas vitales, como el glutatión, un potente antioxidante. En el ámbito industrial, debido a su sabor naturalmente dulce, la glicina se utiliza como aditivo en alimentos y bebidas para mejorar el sabor y en medicamentos para enmascarar sabores amargos. Su simplicidad y versatilidad hacen de la glicina un aminoácido importante tanto en biología como en diversas aplicaciones comerciales.",,,,,Methylsuccinic acid,,,,,,,,
L-Threonine,L-Treonina ,Glycolic acid,"El ácido heptadecanoico, también llamado ácido margárico, es un ácido graso saturado compuesto por una cadena lineal de 17 átomos de carbono. Este ácido graso se caracteriza por ser insoluble en agua y tener un punto de fusión de 61°C, lo que indica que se solidifica a temperaturas relativamente bajas. Aunque no es uno de los ácidos grasos más comunes, juega un papel en diversas funciones biológicas.

En las plantas, el ácido heptadecanoico puede estar involucrado en la formación de lípidos complejos que son parte de las membranas celulares, contribuyendo a la integridad y la funcionalidad celular. En aplicaciones prácticas, este ácido graso tiene usos limitados, pero puede ser empleado en la industria química para la síntesis de productos especializados como surfactantes y lubricantes. Su comportamiento como un ácido graso de cadena larga le confiere propiedades útiles para estas aplicaciones, incluyendo la estabilidad a altas temperaturas y una cierta resistencia a la oxidación.",,,,,Myristic acid,,,,,,,,
Malic acid,Ácido Malico,Gulonic acid,"El ácido gulónico es un tipo de azúcar ácido que juega un papel crucial en el metabolismo de las plantas, específicamente en la síntesis de vitamina C (ácido ascórbico). Este compuesto es un intermediario importante en la ruta metabólica que transforma la glucosa en vitamina C, un nutriente esencial que las plantas utilizan no solo para combatir el estrés oxidativo sino también para fortalecer su sistema inmunológico y fomentar el crecimiento saludable.

En las plantas, la producción de vitamina C a partir del ácido gulónico es vital para mantener una buena salud y resistencia contra enfermedades y condiciones ambientales adversas. Fuera del contexto vegetal, el ácido gulónico y sus derivados tienen aplicaciones potenciales en la industria alimentaria y farmacéutica, donde podrían utilizarse para enriquecer alimentos con vitamina C o en la síntesis de suplementos nutricionales. Esta función subraya la importancia de entender y manipular estos procesos metabólicos tanto para mejorar la salud de las plantas como para aplicaciones prácticas en nutrición humana y medicina.",,,,,Oxalic acid,,,,,,,,
Salicylic acid,Ácido Salicilico,Heptadecane,"El heptadecano es un hidrocarburo saturado que consiste en una cadena lineal de 17 átomos de carbono. Se presenta naturalmente como un sólido que funde a alrededor de 22°C, lo que indica su transición de sólido a líquido a una temperatura relativamente baja. Este compuesto se encuentra en las ceras que recubren algunas plantas, como la rosa, donde juega un papel crucial en la protección de la planta contra la deshidratación y otros factores ambientales adversos.

La presencia de heptadecano en las ceras vegetales ayuda a formar una barrera que minimiza la pérdida de agua, protege contra la invasión de patógenos y reduce los daños causados por la radiación ultravioleta y otros estreses ambientales. Además de su función biológica en las plantas, el heptadecano tiene aplicaciones prácticas, incluido su uso en la industria cosmética y en la fabricación de velas, donde sus propiedades como componente de cera son altamente valoradas por su punto de fusión y consistencia.",,,,,Palmitic Acid,,,,,,,,
4-Aminobutyric acid,Ácido 4-Aminobutirico,Heptadecanoic acid,"El ácido hexanedioico, también conocido como ácido adípico, se caracteriza por tener una estructura de seis carbonos con dos grupos carboxilo en cada extremo. No se encuentra naturalmente en grandes cantidades en las plantas, pero es fundamental en la industria, principalmente en la producción de nailon y otros polímeros, donde se utiliza como monómero para crear poliamidas y plásticos. Además, se emplea como aditivo en la industria alimentaria para regular la acidez de alimentos y bebidas.

Dado su uso industrial, el ácido adípico es valorado por su capacidad de mejorar las propiedades de durabilidad y flexibilidad en los materiales sintéticos, además de su función como regulador de pH en el sector alimenticio. Aunque su presencia natural es limitada, su síntesis y aplicaciones han tenido un impacto significativo en diversas áreas tecnológicas y comerciales.",,,,,palmitoleic acid,,,,,,,,
L-Phenylalanine,L-Fenilanina,Hexadecane,"El hexadecano, también conocido como cetano, es un hidrocarburo saturado con una cadena lineal de 16 átomos de carbono. Este compuesto se presenta como un sólido a temperatura ambiente y se encuentra naturalmente en fuentes biológicas como los pétalos de rosa y la pimienta, donde contribuye a la composición de las ceras y aceites esenciales que protegen a las plantas y modifican sus interacciones con el entorno.

En términos prácticos, el cetano es particularmente importante en la industria de los combustibles debido a su capacidad para autoinflamarse con facilidad cuando se mezcla con aire y se somete a compresión. Esta propiedad le confiere un índice de cetano de 100, que se utiliza como referencia estándar para evaluar la calidad de ignición de los combustibles diésel. Un número de cetano más alto en un combustible diésel indica una capacidad de ignición más rápida y una combustión más eficiente, lo cual es crucial para el diseño de motores diésel más eficientes y menos contaminantes.",,,,,Pentanedioic acid,,,,,,,,
L-(-)-Arabitol,L-(-)-Arabitol,Homoserine,"Homoserina es un aminoácido no proteico que juega un papel crucial en el metabolismo de las plantas, particularmente en leguminosas como los guisantes, donde se encuentra en concentraciones significativas. Este aminoácido actúa como un intermediario en la biosíntesis de otros aminoácidos esenciales, incluyendo metionina, treonina e isoleucina, que son vitales para el crecimiento y desarrollo de las plantas.

La homoserina es fundamental porque participa en múltiples rutas metabólicas que contribuyen a la síntesis de proteínas y otras moléculas importantes. En la agricultura y la biotecnología, entender y manipular la biosíntesis de homoserina puede ayudar a mejorar la nutrición vegetal y la resistencia al estrés, lo que tiene aplicaciones directas en el aumento de la eficiencia agrícola y la producción de cultivos más robustos. Además, estudios sobre la homoserina y su ruta metabólica pueden ofrecer insights para el desarrollo de herbicidas u otros agentes de control agrícola.",,,,,Petroselinic acid,,,,,,,,
D-Fructose,D-Fructosa,Hydroxylamine,"La hidroxilamina es un compuesto químico cuya fórmula molecular es NH2OH, reconocido por su funcionalidad como un agente reductor fuerte en diversas reacciones químicas. En el contexto del metabolismo de las plantas y los suelos, la hidroxilamina desempeña un rol crucial como uno de los primeros intermediarios en la asimilación del amoníaco, un proceso vital para la conversión de nitrógeno atmosférico en formas que las plantas pueden utilizar para sintetizar aminoácidos y otras moléculas esenciales.

Este compuesto tiene aplicaciones significativas no solo en la agricultura, donde su manejo del nitrógeno impacta directamente en la nutrición vegetal y la fertilidad del suelo, sino también en industrias como la farmacéutica y la producción de polímeros, donde se usa en la síntesis de ciertos medicamentos y materiales. Su versatilidad y reactividad hacen que la hidroxilamina sea un elemento clave en tecnologías avanzadas de reducción de contaminantes y en la investigación científica para el desarrollo de nuevas sustancias y tratamientos.",,,,,Phosphoric acid,,,,,,,,
1-hexadecanol,1-Hexadecanol ,L-(-)-Arabitol,"El L-(-)-Arabitol es un tipo de alcohol azucarado, conocido como polialcohol, que se obtiene mediante la reducción de la arabinosa, un tipo de azúcar simple. Este compuesto se caracteriza por su sabor dulce, lo cual lo hace un edulcorante popular en la industria alimentaria, especialmente valorado por aquellos que buscan alternativas bajas en calorías o más saludables a los azúcares tradicionales.

En el metabolismo de las plantas, el L-(-)-Arabitol desempeña un papel en la ruta metabólica de los azúcares pentosa, que son cruciales para la conversión de biomasa en energía. Además de su uso en alimentos, este polialcohol tiene aplicaciones en la industria farmacéutica, donde se utiliza como excipiente en la formulación de medicamentos, ayudando a mejorar la estabilidad y la administración de los fármacos. Su capacidad para retener humedad también lo hace útil en productos cosméticos, como cremas y lociones, donde contribuye a la hidratación de la piel.",,,,,Pipecolic acid,,,,,,,,
palmitoleic acid,Ácido Palmitoleico,L-5-Oxoproline,"El L-5-Oxoprolina, también conocido como ácido piroglutámico, es un aminoácido que deriva del ácido glutámico, una sustancia crucial en el metabolismo de las plantas y animales. Este compuesto se forma al ciclarse el ácido glutámico para crear una estructura de lactama, un tipo de anillo orgánico. Aunque no es uno de los aminoácidos codificados genéticamente para la síntesis de proteínas, el ácido piroglutámico es un componente común en muchas proteínas, donde contribuye a su estabilidad estructural.

En aplicaciones prácticas, la sal sódica del L-5-Oxoprolina es apreciada por sus propiedades humectantes, siendo utilizada en productos de cuidado personal para ayudar a mantener la hidratación de la piel. Esta propiedad lo hace valioso en formulaciones de cremas, lociones y otros cosméticos donde se busca mejorar la retención de humedad en la piel, ofreciendo beneficios de suavidad y elasticidad. Además, el ácido piroglutámico juega un papel en varios procesos bioquímicos relacionados con la producción de energía y la síntesis de otras moléculas biológicas importantes.",,,,,Propanoic acid,,,,,,,,
